Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
570,5552.4,532.774,0.983,98.738,239.683,477.483,819.984,3593.45,3993.07,4881.137,0.002
575,3571,324.409,1.107,98.483,260.913,495.222,701.372,837.395,1091.915,2013.777,0.003
580,6187,325.808,0.732,93.265,249.267,497.193,729.853,877.215,1163.45,1901.107,0.003
585,6540.6,315.831,0.542,93.424,245.206,477.621,698.858,836.451,1122.323,2263.95,0.003
590,8071.8,251.112,0.838,72.27,195.081,379.661,557.012,671.294,900.032,1765.157,0.004
595,7739.8,265.752,0.657,85.392,213.092,399.349,574.791,686.493,889.27,1554.545,0.004
600,7146.8,335.519,0.652,105.287,238.812,429.571,600.212,713.848,1174.13,6482.801,0.003
605,592.6,3247.404,0.646,103.365,5352.698,5492.258,5804.941,5959.117,6229.988,6865.975,0
610,4750,565.153,0.686,103.406,256.174,513.337,907.311,3394.611,3877.6,4838.477,0.002
615,5303.6,220.324,0.556,69.647,186.661,327.752,472.984,563.969,733.576,1190.802,0.005
620,9117.2,224.535,0.508,75.093,187.634,333.635,475.951,564.528,738.071,1912.592,0.004
625,8826.2,233.552,0.762,72.579,186.856,352.003,506.016,601.692,799.107,1330.109,0.004
630,7988.2,257.663,0.653,81.293,202.536,387.753,565.609,672.437,904.557,1680.648,0.004
635,7278.4,283.834,0.982,101.002,228.374,423.341,599.083,713.797,939.947,1984.832,0.004
640,7009.6,290.389,0.92,91.267,229.228,437.347,628.691,753.496,1001.498,1955.544,0.003
645,6604.2,314.227,0.641,103.405,247.793,475.339,672.939,801.915,1074.259,1854.56,0.003
650,6316.2,322.981,0.701,104.16,256.429,492.116,694.437,821.404,1076.214,1856.998,0.003
655,1827,1909.939,1.498,118.524,324.107,796.415,7571.59,7749.2,8054.47,8640.836,0.001
660,2421,233.565,1.277,81.866,195.125,344.233,494.451,590.686,788.958,1225.502,0.004
665,8667.4,235.726,0.48,66.613,183.532,348.063,530.096,636.374,906.136,1630.181,0.004
670,8911.8,231.392,0.513,72.337,185.332,346.473,500.218,599.243,798.131,1567.622,0.004
675,8104.2,251.753,0.584,78.662,198.426,378.19,549.048,656.299,880.415,1383.118,0.004
680,7877.2,261.141,0.659,86.805,210.987,391.041,559.708,664.905,865.145,1461.51,0.004
685,3642.4,564.206,0.655,120.624,268.941,530.932,2546.183,2667.377,3103.524,4062.854,0.002
690,4479.4,750.878,0.728,106.172,266.457,536.051,1009.53,5208.483,5540.442,6386.376,0.001
695,2878.6,242.965,0.875,89.243,207.944,357.669,504.033,594.204,755.742,1138.667,0.004
700,8865,232.601,0.885,77.233,191.191,346.159,496.346,595.401,790.424,1454.058,0.004
705,8415.6,244.429,0.621,82.112,194.494,360.6,526.852,628.631,843.547,1418.055,0.004
710,7808.6,263.009,0.712,87.078,209.625,394.253,564.333,671.907,885.137,1469.727,0.004
715,7218.8,282.869,0.772,92.593,225.521,424.128,610.874,725.247,942.245,1525.342,0.004
720,6808.2,303.128,0.602,100.624,247.423,458.582,644.708,756.375,1002.187,1675.045,0.003
725,6355,324.705,0.987,111.246,258.808,495.73,680.855,797.169,1051.16,1730.832,0.003
730,6152.4,749.452,0.63,103.388,265.646,524.024,821.547,8377.273,8820.823,10070.999,0.001
735,106.2,7201.338,2.615,8308.523,8352.459,8652.496,8822.727,8959.566,9187.677,9412.251,0
740,3101.6,233.118,0.81,67.228,189.971,345.358,507.185,613.023,830.096,1261.878,0.004
745,8946,228.962,0.726,76.463,183.345,340.289,492.166,592.478,780.721,1287.64,0.004
750,8496,243.182,0.451,75.778,190.827,368.201,532.146,634.353,840.011,1418.442,0.004
755,7899.4,261.125,0.74,79.304,206.982,393.242,567.435,674.64,918.174,1574.223,0.004
760,7295.2,278.584,0.81,80.506,211.539,425.324,618.215,741.193,995.056,1611.704,0.004
765,6854.2,300.794,0.745,99.048,233.579,456.082,649.73,777.48,1025.51,1872.892,0.003
770,6486.2,315.688,0.768,104.059,252.612,482.467,672.315,784.55,1023.135,1856.99,0.003
775,6094.4,340.378,0.869,115.39,269.135,512.754,716.267,851.151,1135.488,2219.453,0.003
780,5703.6,355.018,0.769,113.028,275.791,541.551,766.903,904.026,1199.141,2342.896,0.003
785,5665.6,373.178,0.594,108.236,283.386,562.557,819,988.868,1351.538,6078.853,0.003
790,1746,1150.682,0.85,117.042,343.51,856.453,4008.527,4209.246,4506.637,4994.785,0.001
795,8352,237.605,0.611,75.399,187.051,352.643,519.585,623.154,850.689,1639.153,0.004
800,8178.4,252.369,0.761,84.826,200.679,377.59,539.767,645.32,854.793,1869.304,0.004
805,7418.6,276.653,0.768,95.938,220.648,412.922,584.478,701.427,940.692,1537.317,0.004
810,7227.4,282.345,0.672,83.806,221.501,426.814,619.782,742.53,998.337,1597.257,0.004
815,5931.8,350.89,0.74,109.027,274.861,533.723,758.955,893.509,1188.889,1899.524,0.003
820,6288.4,325.369,1.068,117.044,260.713,485.459,682.923,810.28,1052.068,1944.808,0.003
825,2853,1353.411,0.92,130.736,319.222,710.171,7204.24,7468.14,7818.657,8828.791,0.001
830,626.6,322.411,2.062,154.601,292.692,442.596,640.654,740.478,986.29,1453.843,0.003
835,9198.4,219.009,0.626,73.282,177.973,325.601,469.202,560.139,739.266,1187.558,0.005
840,8585.6,240.599,0.55,71.341,187.997,362.855,532.895,640.051,859.514,1460.061,0.004
845,7887.2,259.717,0.88,85.738,207.094,385.286,561.033,670.269,886.025,1522.648,0.004
850,7159,293.92,0.771,98.608,238.143,433.262,610.187,733.147,969.663,3950.368,0.003
855,3085.2,654.486,1.099,100.037,279.027,571.851,2909.901,3162.417,3515.705,4464.872,0.002
860,2745.6,1236.07,1.338,106.756,280.884,596.407,6480.637,6737.231,7117.928,7848.338,0.001
865,2467.6,270.397,1.159,93.743,227.01,401.053,572.998,676.883,877.054,1521.128,0.004
870,9009,227.858,0.831,73.964,181.316,340.936,493.184,588.63,794.857,1487.77,0.004
875,8226.4,248.997,0.726,82.814,202.673,372.75,531.458,629.803,824.737,1369.204,0.004
880,7696.6,265.11,0.592,78.91,205.535,403.484,584.732,691.35,917.671,1632.924,0.004
885,7241.6,284.559,0.881,103.286,231.393,421.002,596.577,704.89,930.377,1596.23,0.004
890,6910.2,297.442,0.662,83.18,235.206,454.576,662.396,788.59,1036.743,1821.344,0.003
895,6351,323.757,0.878,110.022,258.705,490.13,680.631,804.107,1072.475,1754.983,0.003
900,1887.6,3038.464,1.161,107.028,296.744,771.627,12956.78,13236.21,13630.956,14614.145,0
905,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000
910,1387.6,273.408,1.321,96.469,242.844,399.837,570.044,677.87,851.703,1195.882,0.004
915,9496.4,215.857,0.616,63.746,169.402,323.738,475.615,574.542,771.875,1323.939,0.005
920,8509.8,240.386,0.464,80.777,196.119,359.16,514.036,605.606,803.861,1371.309,0.004
925,7803.6,263.421,0.729,88.425,208.052,394.346,566.437,672.181,896.401,1681.944,0.004
930,7254.2,284.787,0.731,98.157,235.805,424.611,597.28,704.68,934.123,1566.308,0.004
935,6907.2,297.177,0.609,98.184,237.366,450.214,637.369,759.976,985.997,1688.827,0.003
940,6662.8,307.81,0.72,97.372,245.312,467.064,660.403,785.157,1039.818,2066.762,0.003
945,6355.4,324.579,1.053,108.338,254.803,487.944,692.71,821.449,1098.424,2070.381,0.003
950,5947.8,346.723,0.63,111.189,272.122,523.902,750.937,893.432,1182.241,1966.209,0.003
955,5678.4,367.056,0.579,105.547,283.141,562.751,804.475,968.651,1291.849,2173.264,0.003
960,5592.4,349.611,0.724,102.919,268.879,537.958,768.168,911.321,1233.552,2269.032,0.003
965,5362.6,384.1,0.718,96.76,232.131,436.251,766.763,1811.906,2120.984,3059.921,0.003
970,6735,301.257,0.629,82.714,209.496,412.054,658.228,1003.397,1395.398,2275.594,0.003
975,7553.6,274.468,0.926,87.417,215.545,410.877,597.73,712.395,960.511,1677.802,0.004
980,6899.4,296.769,0.628,96.206,242.181,442.768,632.876,755.139,1012.545,3283.943,0.003
985,3989.4,506.024,0.658,101.612,274.492,569.504,1990.019,2243.825,2591.56,3816.029,0.002
990,2391.8,2069.356,1.552,111.815,287.784,638.83,10643.362,10844.056,11144.768,12046.333,0
995,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000
1000,5042.8,234.52,1.046,88.71,204.609,344.276,481.258,569.428,729.237,1228.303,0.004
1005,8843,233.461,0.555,75.87,187.566,348.307,506.132,606.865,795.359,1312.872,0.004
1010,8306,250.512,0.799,83.862,200.854,376.583,538.095,635.337,834.68,1610.512,0.004
1015,7515.4,268.24,0.844,89.687,214.993,402.83,573.153,676.445,890.867,1453.645,0.004
1020,6849.8,302.018,0.552,101.941,249.583,451.454,639.31,756.002,998.154,1543.855,0.003
1025,4419,621.026,0.685,88.627,238.073,488.864,939.836,4010.784,4452.55,5141.813,0.002
1030,4083.4,330.091,0.926,114.973,267.934,500.141,687.223,810.589,1087.549,1663.041,0.003
1035,6288.8,330.28,0.7,107.896,265.748,497.046,706.346,840.466,1129.377,1931.529,0.003
1040,6529.4,315.154,0.754,82.251,238.151,479.841,710.333,857.663,1183.661,2300.509,0.003
1045,5972.4,333.332,0.891,87.78,213.27,434.247,713.808,1282.523,1688.967,2335.544,0.003
1050,8179,249.729,0.562,79.687,196.211,371.543,546.39,650.525,872.617,1464.839,0.004
1055,7755.4,269.956,0.748,91.638,221.818,405.479,573.254,675.219,883.612,1587.832,0.004
1060,5368.2,607.441,0.729,104.011,247.475,478.573,778.571,4445.165,4898.989,5761.826,0.002
1065,2280.8,356.057,0.914,125.832,288.833,538.714,737.925,870.619,1159.597,1736.189,0.003
1070,2656.6,1118.881,1.005,102.912,270.139,559.751,5640.901,5883.43,6187.566,6824.73,0.001
1075,4833.8,226.157,0.807,78.661,185.57,334.209,474.007,576.365,795.157,1393.187,0.004
1080,9369,217.214,0.681,66.108,175.478,323.942,475.207,569.153,755.943,1399.271,0.005
1085,8526,242.714,0.77,86.61,200.99,360.683,509.497,604.079,802.617,1430.287,0.004
1090,8055.8,255.43,0.96,79.398,203.941,384.122,553.316,657.293,880.489,1510.542,0.004
1095,7293.2,282.922,0.993,96.699,231.113,426.362,597.485,706.172,928.324,1590.75,0.004
1100,7109.6,290.449,0.65,94.893,229.134,432.217,625.75,750.457,1026.068,1887.101,0.003
1105,6581.4,311.276,0.591,97.15,242.018,478.852,678.648,801.316,1070.093,1882.387,0.003
1110,6160.6,338.777,0.592,111.447,267.672,505.909,713.942,842.286,1121.229,8204.908,0.003
1115,1190.4,2625.632,1.142,115.308,324.236,7155.399,7399.369,7545.658,7761.002,8368.036,0
1120,3673.4,239.418,0.952,74.72,194.614,357.548,516.594,620.429,833.191,1436.123,0.004
1125,8933,232.015,0.69,68.125,183.633,349.214,512.194,610.652,820.107,1426.597,0.004
1130,8291.2,244.977,0.548,85.588,201.656,367.223,515.146,610.052,798.089,1615.104,0.004
1135,7707.6,266.705,0.595,78.145,205.813,403.526,589.866,705.161,938.04,1566.82,0.004
1140,7264.6,286.075,0.699,94.966,233.403,424.049,608.133,732.87,972.014,1776.031,0.003
1145,4032,526.951,0.649,112.57,273.874,527.966,2193.536,2458.343,3074.489,3603.492,0.002
